Colleges,Exam
Sri Aurobindo College,"12th, Science, Delhi University"
Kanchrapara College,"12th, Science, Delhi University"
Uluberia College,"12th, Science, Delhi University"
Memari College,"12th, Science, Delhi University"
Bhagini Nivedita College,"12th, Science, Delhi University"
"Hrit Group Of Institutions (HRIT), Ghaziabad","12th, Science, Delhi University"
Ram Lal Anand College,"12th, Science, Delhi University"
Suri Vidyasagar College,"12th, Science, Delhi University"
"Acharya Institute of Graduate Studies (AIGS), Bangalore","12th, Science, Delhi University"
Deogiri College Aurangabad,"12th, Science, Delhi University"
Karimpur Pannadevi College,"12th, Science, Delhi University"
Nehru College,"12th, Science, Delhi University"
Mathabhanga College,"12th, Science, Delhi University"
Mankar College,"12th, Science, Delhi University"
"Asansol Girls' College (AGC), Burdwan","12th, Science, Delhi University"
Mercy College,"12th, Science, Delhi University"
P.G.D.A.V College (Evening),"12th, Science, Delhi University"
"Career College, Bhopal","12th, Science, Delhi University"
Shri Basaveshwar Vidya Vardak Sangha College Of Pharmacy,"12th, Science, Delhi University"
Shyama Prasad Mukherji College for Women,"12th, Science, Delhi University"
"Christ College (CC), Rajkot","12th, Science, Delhi University"
"Hindu College (HC), New Delhi","12th, Commerce, Delhi University"
LSR Delhi,"12th, Commerce, Delhi University"
Atma Ram Sanatan Dharma College,"12th, Commerce, Delhi University"
Sri Venkateswara College,"12th, Commerce, Delhi University"
Acharya Narendra Dev College,"12th, Commerce, Delhi University"
Deen Dayal Upadhyaya College,"12th, Commerce, Delhi University"
Gargi College,"12th, Commerce, Delhi University"
Daulat Ram College,"12th, Commerce, Delhi University"
Dyal Singh College,"12th, Commerce, Delhi University"
Shri Guru Tegh Bahadur Khalsa College,"12th, Commerce, Delhi University"
Kamala Nehru College,"12th, Commerce, Delhi University"
Ramanujan College,"12th, Commerce, Delhi University"
"Maharaja Agrasen College (MAC), Delhi","12th, Commerce, Delhi University"
Sri Guru Gobind Singh College of Commerce,"12th, Commerce, Delhi University"
Shivaji College,"12th, Commerce, Delhi University"
Shyam Lal College,"12th, Commerce, Delhi University"
Delhi College of Arts & Commerce,"12th, Commerce, Delhi University"
"Guru Nanak College (GNC), Chennai","12th, Commerce, Delhi University"
Janki Devi Memorial College,"12th, Commerce, Delhi University"
Kalindi College,"12th, Commerce, Delhi University"
KJC bangalore,"12th, Commerce, Delhi University"
Bhim Rao Ambedkar College,"12th, Commerce, Delhi University"
"DAV College (DAV), Chandigarh","12th, Commerce, Delhi University"
Lakshmibai College,"12th, Commerce, Delhi University"
Satyawati College,"12th, Commerce, Delhi University"
Sri Aurobindo College (Evening),"12th, Commerce, Delhi University"
Swami Shraddhanand College,"12th, Commerce, Delhi University"
Aditi Mahavidyalaya,"12th, Commerce, Delhi University"
Sonarpur Mahavidyalaya,"12th, Commerce, Delhi University"
Sri Aurobindo College,"12th, Commerce, Delhi University"
Bhagini Nivedita College,"12th, Commerce, Delhi University"
Ram Lal Anand College,"12th, Commerce, Delhi University"
Bharati College,"12th, Commerce, Delhi University"
IIBS bangalore,"12th, Commerce, Delhi University"
Bagnan College,"12th, Commerce, Delhi University"
Bethuadahari College,"12th, Commerce, Delhi University"
"Hindustan Institute of Technology and Science (HU, HU Chennai, Hindustan University, Hindustan University Chennai, Hindustan Chennai), Chennai","12th, Commerce, Delhi University"
IPER Bhopal,"12th, Commerce, Delhi University"
Deogiri College Aurangabad,"12th, Commerce, Delhi University"
Karimpur Pannadevi College,"12th, Commerce, Delhi University"
Mathabhanga College,"12th, Commerce, Delhi University"
Mankar College,"12th, Commerce, Delhi University"
Sri Guru Nanak Dev Khalsa College,"12th, Commerce, Delhi University"
"Asansol Girls' College (AGC), Burdwan","12th, Commerce, Delhi University"
Kanoria PG Mahila Mahavidyalaya,"12th, Commerce, Delhi University"
Tolani College of Commerce,"12th, Commerce, Delhi University"
Mercy College,"12th, Commerce, Delhi University"
P.G.D.A.V College (Evening),"12th, Commerce, Delhi University"
Kasturi Ram College of Higher Education,"12th, Commerce, Delhi University"
Vidyant Hindu PG College,"12th, Commerce, Delhi University"
"Career College, Bhopal","12th, Commerce, Delhi University"
JHC Mumbai,"12th, Commerce, Delhi University"
Jagannath University NCR Haryana,"12th, Commerce, Delhi University"
T. John Group of Institutions,"12th, Commerce, Delhi University"
Shyama Prasad Mukherji College for Women,"12th, Commerce, Delhi University"
Poornima Institute of Engineering & Technology,"12th, Commerce, Delhi University"
Shaheed Bhagat Singh College,"12th, Commerce, Delhi University"
"Christ College (CC), Rajkot","12th, Commerce, Delhi University"
SLC Delhi,"12th, Commerce, Delhi University"
"Sydenham College of Commerce and Economics (SCCE), Mumbai","12th, Commerce, Delhi University"
Virudhunagar Hindu Nadars' Senthikumara Nadar College,TANCET - Tamil Nadu Common Entrance Test
P.S.G. College of Technology,TANCET - Tamil Nadu Common Entrance Test
SKCET Coimbatore,TANCET - Tamil Nadu Common Entrance Test
TCE Madurai,TANCET - Tamil Nadu Common Entrance Test
REC Chennai,TANCET - Tamil Nadu Common Entrance Test
KCT Coimbatore,TANCET - Tamil Nadu Common Entrance Test
"Thiagarajar School of Management, Madurai",TANCET - Tamil Nadu Common Entrance Test
Mepco Schlenk Engineering College,TANCET - Tamil Nadu Common Entrance Test
RMK Engineering College,TANCET - Tamil Nadu Common Entrance Test
M.O.P. Vaishnav College For Women,TANCET - Tamil Nadu Common Entrance Test
SRM Easwari Engineering College,TANCET - Tamil Nadu Common Entrance Test
Madras University,TANCET - Tamil Nadu Common Entrance Test
Bharathiar University,TANCET - Tamil Nadu Common Entrance Test
SJCE Chennai,TANCET - Tamil Nadu Common Entrance Test
Bannari Amman Institute of Technology,TANCET - Tamil Nadu Common Entrance Test
Sona College of Technology,TANCET - Tamil Nadu Common Entrance Test
PSNA Dindigul,TANCET - Tamil Nadu Common Entrance Test
PSG Institute of Management,TANCET - Tamil Nadu Common Entrance Test
Rathinam Group of Institutions,TANCET - Tamil Nadu Common Entrance Test
Sourashtra College,TANCET - Tamil Nadu Common Entrance Test
Valliammai Engineering College,TANCET - Tamil Nadu Common Entrance Test
Parks-College,TANCET - Tamil Nadu Common Entrance Test
Valliammal College For Women,TANCET - Tamil Nadu Common Entrance Test
MEASI Institute of Management,TANCET - Tamil Nadu Common Entrance Test
Panimalar Engineering College Chennai,TANCET - Tamil Nadu Common Entrance Test
VEC Chennai,TANCET - Tamil Nadu Common Entrance Test
"RVS College of Engineering and Technology (RVSCET), Dindigul",TANCET - Tamil Nadu Common Entrance Test
SIMS Chennai,TANCET - Tamil Nadu Common Entrance Test
Vivekananda Institute of Management Studies,TANCET - Tamil Nadu Common Entrance Test
Dhanalakshmi Srinivasan Institute of Technology,TANCET - Tamil Nadu Common Entrance Test
Vignan's Institute of Information Technology,APICET - Andhra Pradesh Integrated Common Entrance Test
IARE,APICET - Andhra Pradesh Integrated Common Entrance Test
Gudlavalleru Engineering College,APICET - Andhra Pradesh Integrated Common Entrance Test
Maris Stella College,APICET - Andhra Pradesh Integrated Common Entrance Test
Andhra Loyola Institute of Engineering and Technology,APICET - Andhra Pradesh Integrated Common Entrance Test
Lingayas Institute of Management and Technology,APICET - Andhra Pradesh Integrated Common Entrance Test
SITAMS Chittoor,APICET - Andhra Pradesh Integrated Common Entrance Test
Nri Group Of Colleges,APICET - Andhra Pradesh Integrated Common Entrance Test
Nalanda Group Of Institutions,APICET - Andhra Pradesh Integrated Common Entrance Test
Prasad V Potluri Siddhartha Institute of Technology,APICET - Andhra Pradesh Integrated Common Entrance Test
Pydah College of Engineering,APICET - Andhra Pradesh Integrated Common Entrance Test
Newton's Institute of Engineering,APICET - Andhra Pradesh Integrated Common Entrance Test
Malineni Lakshmaiah Women's Engineering College,APICET - Andhra Pradesh Integrated Common Entrance Test
Vignan's Nirula Institute of Technology and Science for Women,APICET - Andhra Pradesh Integrated Common Entrance Test
"Mahatma Gandhi College (MGC), Guntur",APICET - Andhra Pradesh Integrated Common Entrance Test
Raja Bahadur Venkata Rama Reddy Institute of Technology,APICET - Andhra Pradesh Integrated Common Entrance Test
Narasaraopeta Institute of Technology,APICET - Andhra Pradesh Integrated Common Entrance Test
JITS Karimnagar,APICET - Andhra Pradesh Integrated Common Entrance Test
Sarada Institute of Technology and Management,APICET - Andhra Pradesh Integrated Common Entrance Test
Hindu College of Engineering and Technology,APICET - Andhra Pradesh Integrated Common Entrance Test
"Universal College of Engineering and Technology (UCET), Guntur",APICET - Andhra Pradesh Integrated Common Entrance Test
GPREC Kurnool,APICET - Andhra Pradesh Integrated Common Entrance Test
RVR and JC College of Engineering,APICET - Andhra Pradesh Integrated Common Entrance Test
CEC Chirala,APICET - Andhra Pradesh Integrated Common Entrance Test
"Amara Institute of Engineering & Technology (AIET), Guntur",APICET - Andhra Pradesh Integrated Common Entrance Test
DJR Institute of Engineering and Technology,APICET - Andhra Pradesh Integrated Common Entrance Test
VVIT Guntur,APICET - Andhra Pradesh Integrated Common Entrance Test
Vignan's LARA Institute of Technology & Science,APICET - Andhra Pradesh Integrated Common Entrance Test
Miracle - School of Engineering(B.Tech),APICET - Andhra Pradesh Integrated Common Entrance Test
K.C.Reddy Business school,APICET - Andhra Pradesh Integrated Common Entrance Test
"Institute of Hotel Management (IHM), Mumbai",NCHMCT JEE
"Institute of Hotel Management Catering Technology & Applied Nutrition (IHMCTAN), Kolkata",NCHMCT JEE
"Institute of Hotel Management Catering Technology & Applied Nutrition (IHMCTAN), Chennai",NCHMCT JEE
Dr. Ambedkar Institute of Hotel Management Catering and Nutrition,NCHMCT JEE
IHM Kovalam,NCHMCT JEE
"Institute of Hotel Management (IHM), Ahmedabad",NCHMCT JEE
"Institute of Hotel Management, Catering Technology & Applied Nutrition (IHM), Hyderabad",NCHMCT JEE
IHM Goa,NCHMCT JEE
"Institute of Hotel Management (IHM), Jodhpur",NCHMCT JEE
"Institute of Hotel Management Catering Technology & Applied Nutrition (IHM), Panipat",NCHMCT JEE
"Institute of Hotel Management Catering Technology and Applied Nutrition (IHMCTAN), Guwahati",NCHMCT JEE
"Institute of Hotel Management catering & Nutrition (IHM), Lucknow",NCHMCT JEE
Chitkara School of Hospitality,NCHMCT JEE
"Institute of Hotel Management, Catering Technology & Applied Nutrition (IHM), Shillong",NCHMCT JEE
Desh Bhagat Institute of Hotel Management,NCHMCT JEE
Munnar Catering College,NCHMCT JEE
"Institute of Hotel Management Catering Technology & Applied Nutrition (IHM), Kurukshetra",NCHMCT JEE
"Institute of Hotel Management, Catering Technology & Applied Nutrition (IHM), Bhubaneswar",NCHMCT JEE
"Institute of Hotel Management Catering Technology and Applied Nutrition (IHMCTAN), Dehradun",NCHMCT JEE
Oriental School of Hotel Management,NCHMCT JEE
"Institute of Hotel Management (IHM), Gwalior",NCHMCT JEE
CIHM Chandigarh,NCHMCT JEE
Pondicherry Institute of Hotel Management & Catering Technology,NCHMCT JEE
"Institute of Hotel Management (IHM), Gurdaspur",NCHMCT JEE
SIHM Kozhikode,NCHMCT JEE
"Institute of Hotel Management Catering Technology & Applied Nutrition (IHMCTAN), Bhatinda",NCHMCT JEE
"Institute of Hotel Management (IHM), Faridabad",NCHMCT JEE
Delhi Institute of Hotel Management & Catering Technology,NCHMCT JEE
"Institute of Hotel Management (IHM), Gangtok",NCHMCT JEE
"Indian Institute of Hotel Management, Kolkata",NCHMCT JEE
Amity University Jaipur,NATA
"Amity University, Gwalior",NATA
Reva University,NATA
Amity University Mumbai,NATA
Vivekananda Global University,NATA
Manav Rachna University,NATA
BVBCET Hubli,NATA
CT Group of Institutions,NATA
MEASI Academy of Architecture,NATA
OmDayal Group Of Institutions,NATA
Ishan Institute of Management and Technology,NATA
IET Bhaddal Technical Campus,NATA
BVUCOE Pune,NATA
KITS Nagpur,NATA
Ganga Institute of Architecture and Town Planning,NATA
SMMCA Nagpur,NATA
Poornima Institute of Engineering & Technology,NATA
"Accurate Institute Of Architecture and Planning (AIAP), Greater Noida",NATA
Purvanchal Institute of Architecture & Design,NATA
AMS Chennai,NATA
APGSU Shimla,NATA
SJJCA Mumbai,NATA
RAC Coimbatore,NATA
Savera Educational Trust Group of Institutions,NATA
"St. Wilfred's Group of Colleges (SWIA), Ajmer",NATA
Pillai Hoc Group Of Institutions,NATA
Nr Group Of Institutions,NATA
Faculty of Architecture-SCET,NATA
Deccan School of Planning and Architecture,NATA
SCMS School of Architecture,NATA
Silicon Institute of Technology,OJEE - Odisha Joint Entrance Examination
Gandhi Institute for Technological Advancement,OJEE - Odisha Joint Entrance Examination
Trident Academy of Technology,OJEE - Odisha Joint Entrance Examination
"National Institute of Science and Technology, Berhampur",OJEE - Odisha Joint Entrance Examination
Eastern Academy Of Science And Technology,OJEE - Odisha Joint Entrance Examination
Gandhi Institute for Technology,OJEE - Odisha Joint Entrance Examination
"Gandhi Engineering College, Bhubaneswar",OJEE - Odisha Joint Entrance Examination
GIET Bhubaneswar,OJEE - Odisha Joint Entrance Examination
CET Bhubaneswar,OJEE - Odisha Joint Entrance Examination
Nalanda Institute of Technology,OJEE - Odisha Joint Entrance Examination
"Ajay Binay Institute of Technology (ABIT), Cuttack",OJEE - Odisha Joint Entrance Examination
Kalam Institute of Technology,OJEE - Odisha Joint Entrance Examination
Einstein Academy of Technology and Management,OJEE - Odisha Joint Entrance Examination
Central Institute of Plastics Engineering & Technology,OJEE - Odisha Joint Entrance Examination
OEC Bhubaneswar,OJEE - Odisha Joint Entrance Examination
IMIT Cuttack,OJEE - Odisha Joint Entrance Examination
PMCA Cuttack,OJEE - Odisha Joint Entrance Examination
Konark Institute of Science and Technology,OJEE - Odisha Joint Entrance Examination
Koustuv Group of Institutions,OJEE - Odisha Joint Entrance Examination
KEC Bhubaneswar,OJEE - Odisha Joint Entrance Examination
GITAM Bhubaneswar,OJEE - Odisha Joint Entrance Examination
Bhadrak Institute of Engineering & Technology,OJEE - Odisha Joint Entrance Examination
Majhighariani Institute Of Technology & Science,OJEE - Odisha Joint Entrance Examination
REC Bhubaneswar,OJEE - Odisha Joint Entrance Examination
NIGAM Institute of Engineering & Technology,OJEE - Odisha Joint Entrance Examination
AIET Bhubaneswar,OJEE - Odisha Joint Entrance Examination
Shibani Institute of Technical Education,OJEE - Odisha Joint Entrance Examination
Spintronic Technology and Advance Research,OJEE - Odisha Joint Entrance Examination
CIME Bhubaneswar,OJEE - Odisha Joint Entrance Examination
"Bhubaneswar Engineering College, Bhubaneswar",OJEE - Odisha Joint Entrance Examination
NIT Calicut,KMAT
NIT Jamshedpur,KMAT
IIIT Guwahati,KMAT
RRCE bangalore,KMAT
BVBCET Hubli,KMAT
UEC Ujjain,KMAT
Sambhram Institute of Technology,KMAT
Channabasaveshwara Institute of Technology,KMAT
SJEC Mangalore,KMAT
"Mount Carmel College, Bangalore",KMAT
RV Institute of Management,KMAT
"Guru Nanak Dev Engineering College (GNDEC), Bidar",KMAT
SSEC Bhavnagar,KMAT
GMIT Davangere,KMAT
AMC bangalore,KMAT
City Group Of Colleges,KMAT
GCEM bangalore,KMAT
Srinivas Group Of Institutions,KMAT
CKPCET Surat,KMAT
"Alva's Institute of Engineering & Technology (AIET), Mangalore",KMAT
GGU Bilaspur,KMAT
"Adarsh Institute of Management and Information Technology (AIMIT), Bangalore",KMAT
"A. G. M. R. College of Engineering & Technology (AGMRCET), Hubli",KMAT
Seshadripuram Institute of Management Studies,KMAT
"Alliance Ascent College (AAC), Bangalore",KMAT
Sri Sairam College of Engineering bangalore,KMAT
SIMS bangalore,KMAT
Presidency College (Autonomous),KMAT
BVVS Bagalkot,KMAT
Poornaprajna Institute of Management,KMAT
Yagyavalkya Institute of Technology,RPET
Global Institute of Technology,RPET
Shekhawati Institute of Engineering & Technology,RPET
BKBIET Pilani,RPET
Modi Institute of Technology,RPET
Geetanjali Institute of Technical Studies,RPET
SLBS Jodhpur,RPET
GURUKUL Kota,RPET
MEC Bikaner,RPET
"Apex Institute of Engineering & Technology (AIET), Jaipur",RPET
Mayurakshi Institute of Engineering & Technology,RPET
ECK Kota,RPET
"Govt. Engineering College (GEC Banswara), Banswara",RPET
Nathdwara Institute of Engineering & Technology,RPET
Maharishi Arvind International Institute of Technology,RPET
U.S.B. Group Of Colleges,RPET
BKIT Kota,RPET
"Government Engineering College (GEC), Jhalawar",RPET
"Arya College of Engineering & Research Centre (ACERC), Jaipur",RPET
MECRC Jodhpur,RPET
VIET Jodhpur,RPET
Regional Group Of Colleges,RPET
Maharaja Group Of Colleges,RPET
SSCE Udaipur,RPET
UTC Jaipur,RPET
RN MODI Kota,RPET
VCET Jodhpur,RPET
Vedic Gurukul Institute of Engineering and Technology,RPET
Swasthya Kalyan Technical Campus,RPET
Maharishi Arvind Group Of Institutions,RPET
NLSIU Bangalore,CLAT
NLU Odisha,CLAT
NLU Hyderabad,CLAT
GNLU Gandhinagar,CLAT
NLIU Bhopal,CLAT
RGNUL,CLAT
NLU Lucknow,CLAT
NLU Assam,CLAT
Presidency University Bangalore,CLAT
Jagannath University Jaipur,CLAT
Sushant University,CLAT
Vivekananda Global University,CLAT
NLU Jodhpur,CLAT
IMS Unison University,CLAT
"The ICFAI University (TICFAIU), West Tripura",CLAT
"The ICFAI University, Dehradun",CLAT
Dr. Ambedkar Global Law Institute,CLAT
MNLU Mumbai,CLAT
"The ICFAI University (ICFAI-J), Jaipur",CLAT
CNLU Patna,CLAT
HNLU Raipur,CLAT
Sarsuna Law College,CLAT
Haldia Law College,CLAT
Shyambazar Law College,CLAT
NLU Visakhapatnam (DSNLU),CLAT
Tamil Nadu National Law University,CLAT
Institute of Law Nirma University,CLAT
Jagannath University NCR Haryana,CLAT
ICFAI LAW Dehradun,CLAT
MERI Rohtak,CLAT
KMC Mangalore,Karnataka Common Entrance Test MBBS
MSRMC bangalore,Karnataka Common Entrance Test MBBS
Kempegowda Institute of Medical Sciences,Karnataka Common Entrance Test MBBS
Kle University,Karnataka Common Entrance Test MBBS
Vydehi Institute of Medical Sciences and Research Centre,Karnataka Common Entrance Test MBBS
Mysore Medical College,Karnataka Common Entrance Test MBBS
"Adichunchanagiri Institute of Medical Sciences (AIMS), Mandya",Karnataka Common Entrance Test MBBS
Hassan Institute of Medical Sciences,Karnataka Common Entrance Test MBBS
Koppal Institute of Medical Sciences,Karnataka Common Entrance Test MBBS
Mandya Institute of Medical Sciences,Karnataka Common Entrance Test MBBS
Karnataka Institute of Medical Sciences,Karnataka Common Entrance Test MBBS
Gadag Institute of Medical Sciences,Karnataka Common Entrance Test MBBS
AJ Institute of Medical Science,Karnataka Common Entrance Test MBBS
Bidar Institute of Medical Sciences,Karnataka Common Entrance Test MBBS
Raichur Institute of Medical Sciences,Karnataka Common Entrance Test MBBS
SIMS Shimoga,Karnataka Common Entrance Test MBBS
Basaveshwara Medical College,Karnataka Common Entrance Test MBBS
MRMC Gulbarga,Karnataka Common Entrance Test MBBS
Subbaiah Institute of Medical Science,Karnataka Common Entrance Test MBBS
JJMMC Davangere,Karnataka Common Entrance Test MBBS
Yenepoya Nursing College,Karnataka Common Entrance Test MBBS
SDM College of Medical Sciences,Karnataka Common Entrance Test MBBS
NMC Raichur,Karnataka Common Entrance Test MBBS
Sapthagiri Institute of Medical Sciences & Research Centre,Karnataka Common Entrance Test MBBS
FMMC Mangalore,Karnataka Common Entrance Test MBBS
Khaja Banda Nawaz Institute of Medical Sciences,Karnataka Common Entrance Test MBBS
"Al-Ameen Medical College (AAMC), Bijapur",Karnataka Common Entrance Test MBBS
KSHMA Mangalore,Karnataka Common Entrance Test MBBS
MVJ Hoskote,Karnataka Common Entrance Test MBBS
SIMSRH Tumkur,Karnataka Common Entrance Test MBBS
Vishnu Dental College,AP EAMCET(Agriculture and Medical)
"Army College of Dental Sciences (ACDS), Secunderabad",AP EAMCET(Agriculture and Medical)
SJDC Eluru,AP EAMCET(Agriculture and Medical)
"Apollo Institute of Medical Sciences and Research (AIMSR), Hyderabad",AP EAMCET(Agriculture and Medical)
Panineeya Mahavidyala Institute of Dental Sciences and Research Center,AP EAMCET(Agriculture and Medical)
G.S.L. Medical College,AP EAMCET(Agriculture and Medical)
Malla Reddy Institute of Medical Sciences,AP EAMCET(Agriculture and Medical)
Anil Neerukonda Institute Of Dental Sciences,AP EAMCET(Agriculture and Medical)
"Government Dental College & Hospital (GDCH), Vijayawada",AP EAMCET(Agriculture and Medical)
Narayana Dental College & Hospital,AP EAMCET(Agriculture and Medical)
Drs Sudha & Nageswara Rao Siddhartha Institute of Dental Science,AP EAMCET(Agriculture and Medical)
G Pulla Reddy Dental College & Hospital,AP EAMCET(Agriculture and Medical)
Kamineni Institute of Dental Sciences,AP EAMCET(Agriculture and Medical)
Sibar Institute of Dental Sciences,AP EAMCET(Agriculture and Medical)
Prathima Institute of Medical Science,AP EAMCET(Agriculture and Medical)
GITAM Dental College & Hospital,AP EAMCET(Agriculture and Medical)
Mamata Dental College,AP EAMCET(Agriculture and Medical)
NRI Medical College,AP EAMCET(Agriculture and Medical)
SVS Medical College,AP EAMCET(Agriculture and Medical)
Mamata Medical College,AP EAMCET(Agriculture and Medical)
M.N.R Group Of Institutions,AP EAMCET(Agriculture and Medical)
Chalmeda Anand Rao Institute of Medical Sciences,AP EAMCET(Agriculture and Medical)
Santhiram Medical College,AP EAMCET(Agriculture and Medical)
Konaseema Institute of Medical Science,AP EAMCET(Agriculture and Medical)
MIMS Vizianagaram,AP EAMCET(Agriculture and Medical)
Alluri Sitarama Raju Academy of Medical Sciences,AP EAMCET(Agriculture and Medical)
BMC Hyderabad,AP EAMCET(Agriculture and Medical)
PES Chittoor,AP EAMCET(Agriculture and Medical)
Nri Institute of Medical Science,AP EAMCET(Agriculture and Medical)
"A.C.Subba Reddy Government Medical College (ACSRGMC), Nellore",AP EAMCET(Agriculture and Medical)
BIT Mesra,AIEEE
GCET Greater Noida,AIEEE
VIIT Pune,AIEEE
Jagannath University Jaipur,AIEEE
"Assam Don Bosco University (ADBU), Guwahati",AIEEE
Bharath Institute of Higher Education And Research,AIEEE
Echelon Institute of Technology,AIEEE
CCET Chandigarh,AIEEE
RGIT Mumbai,AIEEE
Neotia Institute of Technology Management and Science,AIEEE
DYPCET Kolhapur,AIEEE
Pimpri Chinchwad University,AIEEE
BCREC Durgapur,AIEEE
"Institute of Technology (IT), Korba",AIEEE
Rattan Institute of Technology and Management,AIEEE
"Government Polytechnic (GP), Junagadh",AIEEE
REC Bhubaneswar,AIEEE
Delhi Institute of Technology Management & Research,AIEEE
Kirodimal Institute of Technology,AIEEE
"Govt. Engineering College (GEC Banswara), Banswara",AIEEE
BBSBEC Fatehgarh Sahib,AIEEE
"Arya College of Engineering & Research Centre (ACERC), Jaipur",AIEEE
SCE Pune,AIEEE
OIMT Damoh,AIEEE
SAEC Ramanathapuram,AIEEE
Savera Educational Trust Group of Institutions,AIEEE
Maharishi Arvind Group Of Institutions,AIEEE
Bsaie Group Of Institutions,AIEEE
M.D College Of Polytechnic,AIEEE
"Abha Gaikwad-Patil College of Engineering (AGPCE), Nagpur",AIEEE
"JIMS Rohini Sector 5, Delhi",IPUCET - Indraprastha University Common Entrance Test (BBA)
Vivekananda Institute of Professional Studies,IPUCET - Indraprastha University Common Entrance Test (BBA)
Maharaja Surajmal Institute,IPUCET - Indraprastha University Common Entrance Test (BBA)
Tecnia Institute of Advanced Studies,IPUCET - Indraprastha University Common Entrance Test (BBA)
Bhagwan Parshuram Institute of Technology,IPUCET - Indraprastha University Common Entrance Test (BBA)
Trinity Institute of Professional Studies,IPUCET - Indraprastha University Common Entrance Test (BBA)
Maharaja Agrasen Institute of Management Studies,IPUCET - Indraprastha University Common Entrance Test (BBA)
JIMS Vasant Kunj,IPUCET - Indraprastha University Common Entrance Test (BBA)
Delhi Metropolitan Education,IPUCET - Indraprastha University Common Entrance Test (BBA)
Rukmini Devi Institute of Advanced Studies,IPUCET - Indraprastha University Common Entrance Test (BBA)
Institute of Innovation in Technology and Management,IPUCET - Indraprastha University Common Entrance Test (BBA)
Bhai Parmanand Institute of Business Studies,IPUCET - Indraprastha University Common Entrance Test (BBA)
Banarsidas Chandiwala Institute of Professional Studies,IPUCET - Indraprastha University Common Entrance Test (BBA)
Delhi Institute of Advanced Studies,IPUCET - Indraprastha University Common Entrance Test (BBA)
Sanskar Educational Group,IPUCET - Indraprastha University Common Entrance Test (BBA)
Lingaya's Lalita Devi Institute of Management & Sciences,IPUCET - Indraprastha University Common Entrance Test (BBA)
JIMS Engineering Management Technical Campus,IPUCET - Indraprastha University Common Entrance Test (BBA)
Kasturi Ram College of Higher Education,IPUCET - Indraprastha University Common Entrance Test (BBA)
Kamal Institute of Higher Education and Advance Technology,IPUCET - Indraprastha University Common Entrance Test (BBA)
Fairfield Institute of Management & Technology,IPUCET - Indraprastha University Common Entrance Test (BBA)
Sant Hari Dass College of Higher Education,IPUCET - Indraprastha University Common Entrance Test (BBA)
BLS Institute of Technology Management,IPUCET - Indraprastha University Common Entrance Test (BBA)
Mahaveer Swami Institute of Technology,IPUCET - Indraprastha University Common Entrance Test (BBA)
Institute of Information Technology and Management Janakpuri,IPUCET - Indraprastha University Common Entrance Test (BBA)
BMIET Sonepat,IPUCET - Indraprastha University Common Entrance Test (BBA)
DSPSR New Delhi,IPUCET - Indraprastha University Common Entrance Test (BBA)
DIRD Delhi,IPUCET - Indraprastha University Common Entrance Test (BBA)
Sirifort College Of Computer Technology and Management,IPUCET - Indraprastha University Common Entrance Test (BBA)
Ideal Institute of Management and Technology & School of Law,IPUCET - Indraprastha University Common Entrance Test (BBA)
Chanderprabhu Jain College of Higher Studies & School of Law,IPUCET - Indraprastha University Common Entrance Test (BBA)
"Government Dental College (GDC), Bangalore",Karnataka Common Entrance Test BDS
ODC bangalore,Karnataka Common Entrance Test BDS
RRDCH bangalore,Karnataka Common Entrance Test BDS
KCDS bangalore,Karnataka Common Entrance Test BDS
"AECS Maaruti College of Dental Sciences & Research Centre (AECS), Bangalore",Karnataka Common Entrance Test BDS
D A Pandu Memorial RV Dental College,Karnataka Common Entrance Test BDS
P.M. Nadagouda Memorial Dental College,Karnataka Common Entrance Test BDS
Bangalore Institute of Dental Sciences,Karnataka Common Entrance Test BDS
MRADC bangalore,Karnataka Common Entrance Test BDS
Sharavathi Dental College and Hospital,Karnataka Common Entrance Test BDS
AJIDS Mangalore,Karnataka Common Entrance Test BDS
Sri Hasanamba Dental College & Hospital,Karnataka Common Entrance Test BDS
DSCDS bangalore,Karnataka Common Entrance Test BDS
"Al-Ameen Medical College (AAMC), Bangalore",Karnataka Common Entrance Test BDS
CDS Davangere,Karnataka Common Entrance Test BDS
Sri Rajiv Gandhi College of Dental Sciences & Hospital,Karnataka Common Entrance Test BDS
"Al Badar Dental College & Hospital (ABDCH), Gulbarga",Karnataka Common Entrance Test BDS
Coorg Instituite of Dental Sciences,Karnataka Common Entrance Test BDS
KGF College of Dental Sciences & Hospital,Karnataka Common Entrance Test BDS
S.J.M Dental College And Hospital,Karnataka Common Entrance Test BDS
KVG Dental College & Hospital,Karnataka Common Entrance Test BDS
"Navodaya Educational Trust, Navodaya Group of Institutions",Karnataka Common Entrance Test BDS
Srinivas Group Of Institutions,Karnataka Common Entrance Test BDS
SIMC Pune,SNAP
Symbiosis Group Of Institutes,SNAP
RRCE bangalore,SNAP
SIBM Bangalore,SNAP
RYMEC Bellary,SNAP
Symbiosis Institute of Computer Studies and Research,SNAP
MITE Mangalore,SNAP
BGS Institute of Technology,SNAP
Symbiosis Institute of Media and Communication,SNAP
SIIB Pune,SNAP
Symbiosis Centre for Management and Human Resource Development,SNAP
SIT Mangalore,SNAP
SIOM Nashik,SNAP
SCIT Pune,SNAP
SSBF Pune,SNAP
SITM Pune,SNAP
Versatile Business School,SNAP
Indraprasth Institute of Management,SNAP
IGTC bangalore,SNAP
